Year,Family,Eng_name,Swahil-_name,Districts,Catch(t),Zone
2014,Acanthuridae,Naso hexacanthus,Puju,Muheza,7.1,OTHER
2014,Ariidae,Netuma thalassina,Hongwe,Muheza,50.7,OTHER
2014,Caesionidae,Caesio xanthonota,Mbono,Muheza,2,OTHER
2014,Carangidae, carenx tille,Karambizi,Muheza,136.2,OTHER
2014,Clariidae ,clarias macrocephalus,Kambale ,Muheza,1.1,OTHER
2014,Chanidae,Chanidae,Mwatiko,Muheza,16.1,OTHER
2014,Clupeidae,Sardinella neglecta,Dagaa papa,Muheza,1.3,OTHER
2014,Gerridae,Sardinella neglecta,Dagaa papa,Muheza,3.2,OTHER
2014,Gerridae,Gerres oblongus,Chaa,Muheza,3.2,OTHER
2014,Hemiramphidae , Hemiramphus far,Chuchunge,Muheza,54.6,OTHER
2014,Hemiramphidae , Hemiramphus far,Chuchunge,Muheza,58,OTHER
2014,Istiophoridae ,Istiompax indica,Samsuri,Muheza,14.6,OTHER
2014,Lethrinidae, Lethrinus harak,Changu doa,Muheza,753.1,OTHER
2014,Loliginidae, Uroteuthis duvaucelii,Ngisi,Muheza,0.5,OTHER
2014,Loliginidae, Uroteuthis duvaucelii,Ngisi,Muheza,0.9,OTHER
2014,Mugilidae ,Valamugil buchanani,Mkizi,Muheza,4,OTHER
2014,Mullidae ,Upeneus tragula,Mkundaji,Muheza,52.3,OTHER
2014,Nemipteridae,Nemipterus japonicus,Koana,Muheza,41,OTHER
2014,Octopodidae ,Octopus cyanea,Pweza,Muheza,274.9,OTHER
2014,Palinuridae, Panulirus ornatus,Kamba koche,Muheza,1.1,OTHER
2014,Penaeidae,Penaeus Monodon,Kamba mti,Muheza,1,OTHER
2014,Rachycentridae, Rachycentron canadum,Songoro,Muheza,307.2,OTHER
2014,Dasyatidae/ Rays ,Pastinachus sephen,Taa usinga,Muheza,564,OTHER
2014,Scombridae(J),Gymnosarda unicolor ,Jodari  meno,Muheza,34.5,OTHER
2014,Scombridae(N),Scomberomorus plurilineatus,Nguru- kanadi,Muheza,40.4,OTHER
2014,Scombridae (v),Rastrelliger kanagurta,Vibua,Muheza,5.9,OTHER
2014,Serranidae,Cephalopholis argus,Chewa,Muheza,31.3,OTHER
2014,Carcharhinidae /Sharks ,Carcharhinus falciformis,Papa,Muheza,91.7,OTHER
2014,Siganidae,Siganus Canaliculatus,Tasi,Muheza,77.1,OTHER
2014,Sphyraenidae ,Sphyraena obtusata,"Msusa, Mzia",Muheza,49.6,OTHER
2015,Acanthuridae,Naso hexacanthus,Puju,Muheza,9.2,OTHER
2015,Ariidae,Netuma thalassina,Hongwe,Muheza,48.4,OTHER
2015,Caesionidae,Caesio xanthonota,Mbono,Muheza,4,OTHER
2015,Carangidae, carenx tille,Karambizi,Muheza,163.4,OTHER
2015,Clariidae ,clarias macrocephalus,Kambale ,Muheza,3.1,OTHER
2015,Chanidae,Chanidae,Mwatiko,Muheza,2.2,OTHER
2015,Chirocentridae,Chirocentrus nudus,Mkonge,Muheza,22.2,OTHER
2015,Clupeidae,Sardinella neglecta,Dagaa papa,Muheza,222.1,OTHER
2015,Gerridae,Gerres oblongus,Chaa,Muheza,7.1,OTHER
2015,Haemulidae ,Pomadasys multimaculatum,Karamamba,Muheza,6.2,OTHER
2015,Hemiramphidae , Hemiramphus far,Chuchunge,Muheza,100.1,OTHER
2015,Istiophoridae ,Istiompax indica,Samsuri,Muheza,42,OTHER
2015,Labridae,Halichoeres nigrescens,pono,Muheza,16.2,OTHER
2015,Lethrinidae, Lethrinus harak,Changu doa,Muheza,676.8,OTHER
2015,Loliginidae, Uroteuthis duvaucelii,Ngisi,Muheza,2.2,OTHER
2015,Mugilidae ,Valamugil buchanani,Mkizi,Muheza,6.1,OTHER
2015,Mullidae ,Upeneus tragula,Mkundaji,Muheza,5,OTHER
2015,Nemipteridae,Nemipterus japonicus,Koana,Muheza,83.2,OTHER
2015,Octopodidae ,Octopus cyanea,Pweza,Muheza,44,OTHER
2015,Palinuridae , Panulirus ornatus,Kamba koche,Muheza,2.5,OTHER
2015,Penaeidae,Penaeus Monodon,Kamba mti,Muheza,5.9,OTHER
2015,Rachycentridae, Rachycentron canadum,Songoro,Muheza,347.8,OTHER
2015,Dasyatidae/ Rays ,Pastinachus sephen,Taa usinga,Muheza,443.2,OTHER
2015,Scombridae(J) / ,Gymnosarda unicolor ,Jodari ,Muheza,238.9,OTHER
2015,Scombridae(N),Scomberomorus plurilineatus,Nguru- kanadi,Muheza,60.2,OTHER
2015,Scombridae (v),Rastrelliger kanagurta,Vibua,Muheza,7.1,OTHER
2015,Serranidae,Cephalopholis argus,Chewa,Muheza,62.2,OTHER
2015,Carcharhinidae /Sharks ,Carcharhinus falciformis,Papa,Muheza,150.5,OTHER
2015,Siganidae,Siganus Canaliculatus,Tasi,Muheza,77.4,OTHER
2015,Sphyraenidae ,Sphyraena obtusata,"Msusa, Mzia",Muheza,51.1,OTHER
2015,Others,,Wengineo,Muheza,287.3,OTHER
2016,Acanthuridae,Naso hexacanthus,Puju,Muheza,8.64,OTHER
2016,Ariidae,Netuma thalassina,Hongwe,Muheza,47.84,OTHER
2016,Caesionidae,Caesio xanthonota,Mbono,Muheza,3.44,OTHER
2016,Carangidae, carenx tille,Karambizi,Muheza,162.84,OTHER
2016,Clariidae ,clarias macrocephalus,Kambale ,Muheza,2.54,OTHER
2016,Chanidae,Chanidae,Mwatiko,Muheza,1.64,OTHER
2016,Chirocentridae,Chirocentrus nudus,Mkonge,Muheza,21.64,OTHER
2016,Clupeidae,Sardinella neglecta,Dagaa papa,Muheza,221.54,OTHER
2016,Scombridae (v),Rastrelliger kanagurta,Vibua,Muheza,6.54,OTHER
2016,Gerridae,Gerres oblongus,Chaa,Muheza,6.54,OTHER
2016,Haemulidae ,Pomadasys multimaculatum,Karamamba,Muheza,5.64,OTHER
2016,Hemiramphidae , Hemiramphus far,Chuchunge,Muheza,99.54,OTHER
2016,Istiophoridae ,Istiompax indica,Samsuri,Muheza,41.44,OTHER
2016,Labridae,Halichoeres nigrescens,pono,Muheza,15.64,OTHER
2016,Lethrinidae, Lethrinus harak,Changu doa,Muheza,676.24,OTHER
2016,Loliginidae, Uroteuthis duvaucelii,Ngisi,Muheza,1.64,OTHER
2016,Mugilidae ,Valamugil buchanani,Mkizi,Muheza,5.54,OTHER
2016,Mullidae ,Upeneus tragula,Mkundaji,Muheza,4.44,OTHER
2016,Nemipteridae,Nemipterus japonicus,Koana,Muheza,82.64,OTHER
2016,Octopodidae ,Octopus cyanea,Pweza,Muheza,43.44,OTHER
2016,Palinuridae , Panulirus ornatus,Kamba koche,Muheza,1.94,OTHER
2016,Penaeidae,Penaeus Monodon,Kamba mti,Muheza,5.34,OTHER
2016,Rachycentridae, Rachycentron canadum,Songoro,Muheza,347.24,OTHER
2016,Dasyatidae/ Rays ,Pastinachus sephen,Taa usinga,Muheza,442.64,OTHER
2016,Scombridae(J) / ,Gymnosarda unicolor ,Jodari ,Muheza,238.34,OTHER
2016,Scombridae(N),Scomberomorus plurilineatus,Nguru- kanadi,Muheza,59.64,OTHER
2016,Serranidae,Cephalopholis argus,Chewa,Muheza,61.64,OTHER
2016,Carcharhinidae /Sharks ,Carcharhinus falciformis,Papa,Muheza,149.94,OTHER
2016,Siganidae,Siganus Canaliculatus,Tasi,Muheza,76.84,OTHER
2016,Sphyraenidae ,Sphyraena obtusata,"Msusa, Mzia",Muheza,50.54,OTHER
2016,Others,,Wengineo,Muheza,286.74,OTHER
2014,Acanthuridae,Naso hexacanthus,Puju,Pangani,3.1,OTHER
2014,Ariidae,Netuma thalassina,Hongwe,Pangani,72,OTHER
2014,Caesionidae,Caesio xanthonota,Mbono,Pangani,1,OTHER
2014,Carangidae, carenx tille,Karambizi,Pangani,76.4,OTHER
2014,Clariidae ,clarias macrocephalus,Kambale ,Pangani,5.3,OTHER
2014,Gerridae,Gerres oblongus,Chaa,Pangani,1.1,OTHER
2014,Haemulidae ,Pomadasys multimaculatum,Karamamba,Pangani,1,OTHER
2014,Hemiramphidae , Hemiramphus far,Chuchunge,Pangani,128.4,OTHER
2014,Istiophoridae ,Istiompax indica,Samsuri,Pangani,3,OTHER
2014,Labridae,,,Pangani,109.5,OTHER
2014,Lethrinidae, Lethrinus harak,Changu doa,Pangani,320.2,OTHER
2014,Loliginidae, Uroteuthis duvaucelii,Ngisi,Pangani,0.1,OTHER
2014,Mugilidae ,Valamugil buchanani,Mkizi,Pangani,26.1,OTHER
2014,Nemipteridae,Nemipterus japonicus,Koana,Pangani,49.6,OTHER
2014,Octopodidae ,Octopus cyanea,Pweza,Pangani,290.9,OTHER
2014,Others,,Wengineo,Pangani,182.1,OTHER
2014,Penaeidae,Penaeus Monodon,Kamba mti,Pangani,241,OTHER
2014,Penaeidae,Penaeus Monodon,Kamba mti,Pangani,0.2,OTHER
