Location,Year,Month,Species,Catch Wt (Ton),,
Kilwa,2016,June,Serranidae spp( CEW ),359.28,,
Kilwa,2016,June,Caranx tille( CGX ),20.25,,
Kilwa,2016,June,Changu( CHN ),156.96,,
Kilwa,2016,June,Vipepeo( KPP ),29.25,,
Kilwa,2016,June,Lutjanus spp( LDW ),44.22,,
Kilwa,2016,June,Lethrinus spp( LH ),97.21,,
Kilwa,2016,June,Lethrinus borbonicus( LHB ),224.16,,
Kilwa,2016,June,Lethrinus harak( LHH ),44.94,,
Kilwa,2016,June,Lethrinus nebulosus( LHN ),442.2,,
Kilwa,2016,June,Octopus cyanea( OCC ),6,,
Kilwa,2016,June,Loligo spp( OJD ),110.55,,
Kilwa,2016,June,Panulirus spp( PUR ),0.42,,
Kilwa,2016,June,Siganus sp.( SGL ),108.54,,
Kilwa,2016,June,Carrotomus carolinus( ULG ),11.07,,
Kilwa,2016,June,Upeneus spp( UPL ),8.85,,
Kilwa,2016,July,Serranidae spp( CEW ),385.02,,
Kilwa,2016,July,Caranx tille( CGX ),3.01,,
Kilwa,2016,July,Chaetodon ssp( CHM ),1.27,,
Kilwa,2016,July,Changu( CHN ),218.64,,
Kilwa,2016,July,Kifuu( KF ),3.81,,
Kilwa,2016,July,Vikande( KKN ),0.93,,
Kilwa,2016,July,Milea( KOM ),251.32,,
Kilwa,2016,July,Lutjanus spp( LDW ),462.16,,
Kilwa,2016,July,Lethrinus spp( LH ),609.83,,
Kilwa,2016,July,Lethrinus borbonicus( LHB ),475.9,,
Kilwa,2016,July,Lethrinus harak( LHH ),380.78,,
Kilwa,2016,July,Lethrinus nebulosus( LHN ),205.62,,
Kilwa,2016,July,Lethrinus rubrioperculatus( LHR ),205.62,,
Kilwa,2016,July,Milea( ML ),11.44,,
Kilwa,2016,July,Gerres spp( MOJ ),"1,763.26",,
Kilwa,2016,July,Tuna( NGR ),690.99,,
Kilwa,2016,July,Netuma thalassina( NTT ),205.62,,
Kilwa,2016,July,Caranx spp( NXT ),685.41,,
Kilwa,2016,July,Octopus cyanea( OCC ),76.4,,
Kilwa,2016,July,Loligo spp( OJD ),"1,445.41",,
Kilwa,2016,July,Pono( PNW ),0.93,,
Kilwa,2016,July,Panulirus spp( PUR ),23.98,,
Kilwa,2016,July,Siganus sp.( SGL ),198.55,,
Kilwa,2016,July,Acanthurus spp( SUR  ),2.54,,
Kilwa,2016,July,Terrapon jarbua( TJB ),45.69,,
Kilwa,2016,July,Upeneus spp( UPL ),2.54,,
Kilwa,2016,August,Serranidae spp( CEW ),719.19,,
Kilwa,2016,August,Caranx tille( CGX ),695.18,,
Kilwa,2016,August,Changu( CHN ),661.65,,
Kilwa,2016,August,Cuttlefish( DM ),12.56,,
Kilwa,2016,August,Vikande( KKN ),0.28,,
Kilwa,2016,August,Lutjanus spp( LDW ),187.67,,
Kilwa,2016,August,Lethrinus spp( LH ),"1,331.92",,
Kilwa,2016,August,Lethrinus borbonicus( LHB ),244.83,,
Kilwa,2016,August,Lethrinus harak( LHH ),"3,388.56",,
Kilwa,2016,August,Gerres spp( MOJ ),"2,103.38",,
Kilwa,2016,August,Tuna( NGR ),811.35,,
Kilwa,2016,August,Caranx spp( NXT ),36.27,,
Kilwa,2016,August,Taa( NYG ),1.58,,
Kilwa,2016,August,Octopus cyanea( OCC ),201.43,,
Kilwa,2016,August,Loligo spp( OJD ),6.82,,
Kilwa,2016,August,Panulirus spp( PUR ),19.08,,
Kilwa,2016,August,Siganus sp.( SGL ),65.17,,
Kilwa,2016,August,Carrotomus carolinus( ULG ),6.51,,
Kilwa,2016,August,Upeneus spp( UPL ),3.26,,
Kilwa,2016,August,Acanthocybium solandiri( WAH ),685.41,,
Kilwa,2016,September,Changu( CHN ),3.42,,
Kilwa,2016,September,Lutjanus spp( LDW ),6.48,,
Kilwa,2016,September,Lethrinus spp( LH ),"3,928.89",,
Kilwa,2016,September,Lethrinus borbonicus( LHB ),117.39,,
Kilwa,2016,September,Lethrinus harak( LHH ),600.39,,
Kilwa,2016,September,Lethrinus nebulosus( LHN ),530.64,,
Kilwa,2016,September,Lethrinus rubrioperculatus( LHR ),176.88,,
Kilwa,2016,September,Gerres spp( MOJ ),"1,834.26",,
Kilwa,2016,September,Octopus cyanea( OCC ),34.18,,
Kilwa,2016,September,Loligo spp( OJD ),15.96,,
Kilwa,2016,September,Panulirus spp( PUR ),29.25,,
Kilwa,2016,September,Siganus sp.( SGL ),4.05,,
Kilwa,2016,September,Upeneus spp( UPL ),3.42,,
Kilwa,2016,October,Serranidae spp( CEW ),687.77,,
Kilwa,2016,October,Lutjanus spp( LDW ),4.71,,
Kilwa,2016,October,Lethrinus spp( LH ),6.98,,
Kilwa,2016,October,Lethrinus borbonicus( LHB ),9.42,,
Kilwa,2016,October,Lethrinus harak( LHH ),736.82,,
Kilwa,2016,October,Gerres spp( MOJ ),971,,
Kilwa,2016,October,Tuna( NGR ),479.79,,
Kilwa,2016,October,Siganus sp.( SGL ),6.57,,
Kilwa,2016,November,Serranidae spp( CEW ),331.65,,
Kilwa,2016,November,Lethrinus spp( LH ),201.69,,
Kilwa,2016,November,Octopus cyanea( OCC ),"2,160.00",,
Kilwa,2016,November,Siganus sp.( SGL ),80.9,,
Kilwa,2017,January,Serranidae spp( CEW ),1.4,,
Kilwa,2017,January,Kyphosus cinerascens( KYC ),11.16,,
Kilwa,2017,January,Lutjanus spp( LDW ),3.84,,
Kilwa,2017,January,Lethrinus spp( LH ),846.92,,
Kilwa,2017,January,Lethrinus borbonicus( LHB ),10.09,,
Kilwa,2017,January,Lethrinus harak( LHH ),6.93,,
Kilwa,2017,January,Gerres spp( MOJ ),"1,175.80",,
Kilwa,2017,January,Taa( NYG ),2.05,,
Kilwa,2017,January,Pono( PNW ),7.07,,
