Location,Year,Month,Species,catch,group
Kilwa,2016,June,Serranidae spp( CEW ),359.28,Reef fish
Kilwa,2016,June,Changu( CHN ),156.96,Reef fish
Kilwa,2016,June,Lutjanus spp( LDW ),44.220000000000006,Reef fish
Kilwa,2016,June,Lethrinus spp( LH ),97.21000000000001,Reef fish
Kilwa,2016,June,Lethrinus borbonicus( LHB ),224.16,Reef fish
Kilwa,2016,June,Lethrinus harak( LHH ),44.94,Reef fish
Kilwa,2016,June,Lethrinus nebulosus( LHN ),442.2,Reef fish
Kilwa,2016,June,Carrotomus carolinus( ULG ),11.07,Reef fish
Kilwa,2016,July,Serranidae spp( CEW ),385.02,Reef fish
Kilwa,2016,July,Changu( CHN ),218.64,Reef fish
Kilwa,2016,July,Lutjanus spp( LDW ),462.16,Reef fish
Kilwa,2016,July,Lethrinus spp( LH ),609.8299999999999,Reef fish
Kilwa,2016,July,Lethrinus borbonicus( LHB ),475.9,Reef fish
Kilwa,2016,July,Lethrinus harak( LHH ),380.78,Reef fish
Kilwa,2016,July,Lethrinus nebulosus( LHN ),205.62,Reef fish
Kilwa,2016,July,Lethrinus rubrioperculatus( LHR ),205.62,Reef fish
Kilwa,2016,August,Serranidae spp( CEW ),719.19,Reef fish
Kilwa,2016,August,Changu( CHN ),661.65,Reef fish
Kilwa,2016,August,Lutjanus spp( LDW ),187.67,Reef fish
Kilwa,2016,August,Lethrinus spp( LH ),1331.92,Reef fish
Kilwa,2016,August,Lethrinus borbonicus( LHB ),244.83,Reef fish
Kilwa,2016,August,Lethrinus harak( LHH ),3388.56,Reef fish
Kilwa,2016,August,Carrotomus carolinus( ULG ),6.51,Reef fish
Kilwa,2016,September,Changu( CHN ),3.42,Reef fish
Kilwa,2016,September,Lutjanus spp( LDW ),6.48,Reef fish
Kilwa,2016,September,Lethrinus spp( LH ),3928.8900000000003,Reef fish
Kilwa,2016,September,Lethrinus borbonicus( LHB ),117.39,Reef fish
Kilwa,2016,September,Lethrinus harak( LHH ),600.39,Reef fish
Kilwa,2016,September,Lethrinus nebulosus( LHN ),530.64,Reef fish
Kilwa,2016,September,Lethrinus rubrioperculatus( LHR ),176.88000000000002,Reef fish
Kilwa,2016,October,Serranidae spp( CEW ),687.7700000000001,Reef fish
Kilwa,2016,October,Lutjanus spp( LDW ),4.71,Reef fish
Kilwa,2016,October,Lethrinus spp( LH ),6.98,Reef fish
Kilwa,2016,October,Lethrinus borbonicus( LHB ),9.42,Reef fish
Kilwa,2016,October,Lethrinus harak( LHH ),736.8199999999999,Reef fish
Kilwa,2016,November,Serranidae spp( CEW ),331.65000000000003,Reef fish
Kilwa,2016,November,Lethrinus spp( LH ),201.69,Reef fish
Kilwa,2017,January,Serranidae spp( CEW ),1.4,Reef fish
Kilwa,2017,January,Lutjanus spp( LDW ),3.84,Reef fish
Kilwa,2017,January,Lethrinus spp( LH ),846.92,Reef fish
Kilwa,2017,January,Lethrinus borbonicus( LHB ),10.09,Reef fish
