FISHERIES CATEGORY,Species
OCTOPUS,Octopus cyanea
SMALL PELAGIC,Amblygaster sirm
SMALL PELAGIC, Sardine
SMALL PELAGIC,Mackerel
SMALL PELAGIC,Dussumieria acuta
TUNA,Auxis thazard
TUNA,Euthynnus affinis
TUNA,Istiophorus platypterus
TUNA,Katsuwonus pelamis
TUNA,Scomberomorus spp
REEF FISH,Red snapper
REEF FISH,Serranidae
REEF FISH,Carrotomus carolinus
REEF FISH,Lutjanus spp
REEF FISH,Lethrinus
ELASMOBRANCH,Carcharhinus spp
ELASMOBRANCH,Rhynchobatus spp
ELASMOBRANCH,Himantura uarnak
ELASMOBRANCH,Maculabatis ambigua
ELASMOBRANCH,Manta alfredi
